2015-04-15 14:00:14,053 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10685 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10685 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:14,053 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:14,054 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10686 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10686 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:14,054 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:14,081 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10687 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10687 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:14,081 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:14,081 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10688 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10688 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:14,081 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:14,958 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10689 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10689 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:14,958 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:14,997 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10690 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10690 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:14,997 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:14,997 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10691 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10691 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:14,998 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:14,998 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10692 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10692 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:14,998 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:15,049 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10693 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10693 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:15,050 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:15,050 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10694 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10694 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:15,050 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:15,050 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10695 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10695 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:15,050 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:15,051 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10696 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10696 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:15,051 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:15,967 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10697 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10697 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:15,967 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:15,986 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10698 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10698 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:15,987 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:16,011 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10699 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10699 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:16,011 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
